Canada_0.1,Canada_0.9,Chile_0.1,Chile_0.9,Mexico_0.1,Mexico_0.9,Chinese Taipei_0.1,Chinese Taipei_0.9,Hong Kong SAR_0.1,Hong Kong SAR_0.9,Japan_0.1,Japan_0.9,Korea (ROK)_0.1,Korea (ROK)_0.9,"Macao, China_0.1","Macao, China_0.9",Maldives_0.1,Maldives_0.9,Cambodia_0.1,Cambodia_0.9,Indonesia_0.1,Indonesia_0.9,Singapore_0.1,Singapore_0.9,New Zealand_0.1,New Zealand_0.9,USA_0.1,USA_0.9,Thailand_0.1,Thailand_0.9,Turkey_0.1,Turkey_0.9,Australia_0.1,Australia_0.9,Hawaii_0.1,Hawaii_0.9,Austria_0.1,Austria_0.9,Czech_0.1,Czech_0.9
1497.0,3324.0,0.0,0.0,754.1,10782.699999999999,518.0,677.0,3802.0,6304.0,1823.0,3951.0,12942.0,55134.6,666269.7,730934.0,84.99999999999999,620.3999999999994,2139.9,10515.699999999997,2703.0,6421.0,4498.0,12668.999999999998,121.99999999999999,198.0,2017.0000000000002,113528.0,323.0,1032.0,1808.9999999999998,19734.0,250.0,12470.0,81.0,654.0,75.0,945.0,164.29999999999998,10522.0
1497.0,3324.0,0.0,0.0,996.0000000000001,6761.299999999999,518.0,4590.0,3802.0,6304.0,1823.0,3951.0,12942.0,55134.6,685590.3999999999,1177254.4999999998,84.99999999999999,578.6999999999995,2139.9,14594.199999999999,2703.0,6421.0,4498.0,12668.999999999998,121.99999999999999,198.0,1774.9999999999998,56951.00000000001,323.0,1032.0,1825.2,11800.000000000005,250.0,11480.0,80.2,654.0,75.0,945.0,189.3,10522.0
1678.0000000000002,13870.0,0.0,0.0,960.2,9331.0,518.0,1189.3,3802.0,6304.0,1823.0,3951.0,13416.299999999997,56588.1,685590.3999999999,1177254.4999999998,136.3,643.6999999999992,2731.0,22241.0,2703.0,6421.0,6388.900000000001,12668.999999999998,121.99999999999999,198.0,1774.9999999999998,44277.0,323.0,1032.0,2306.0,11761.300000000005,250.0,10390.0,135.00000000000003,654.0,75.0,945.0,189.3,10522.0
1497.0,9628.0,0.0,28.0,638.0,13977.900000000001,518.0,728.1000000000008,3802.0,6304.0,1823.0,5370.60000000002,13416.299999999997,56588.1,666269.7,730208.6,136.3,632.3999999999993,2731.0,22161.0,2703.0,6421.0,4498.0,12668.999999999998,121.99999999999999,198.0,1774.9999999999998,38269.0,323.0,1032.0,2306.0,9877.0,250.0,12531.000000000005,141.0,654.0,75.0,945.0,189.3,10522.0
1678.0000000000002,13870.0,0.0,2045.0,1374.6000000000001,22277.3,518.0,728.1000000000008,3802.0,6304.0,1823.0,38803.5,13416.299999999997,55856.4,666269.7,730208.6,105.69999999999999,3263.4,2731.0,26721.0,2703.0,13329.499999999978,6388.900000000001,12668.999999999998,121.99999999999999,6323.099999999999,3158.3999999999996,73684.0,323.0,1032.0,1906.2,19821.0,250.0,21578.000000000015,73.0,3446.7,75.0,945.0,189.3,10522.0
1363.0,13274.000000000002,0.0,109.0,801.8,12312.0,518.0,705.1000000000005,3802.0,5056.600000000011,1747.0,45328.60000000002,11982.0,99154.89999999983,914933.3999999999,1487126.1999999997,131.0,12367.0,2149.0,42340.0,2703.0,14637.199999999972,4498.0,81734.0,121.99999999999999,6321.0,1774.9999999999998,122672.00000000001,323.0,48924.800000000076,1795.0,12277.500000000011,250.0,21359.0,81.0,1754.0,75.0,945.0,164.29999999999998,8560.999999999998
1363.0,11660.700000000006,0.0,109.0,973.1,16659.0,518.0,677.0,3802.0,4651.0,1747.0,51642.100000000006,11982.0,56652.0,784557.3,1487126.1999999997,129.6,12379.8,2149.0,55482.0,2703.0,12971.599999999979,4498.0,91092.0,137.0,6328.900000000001,1774.9999999999998,58808.0,323.0,6239.400000000445,1915.0,15088.200000000006,250.0,22820.0,81.0,1503.8000000000002,75.0,236.00000000000028,77.0,8560.999999999998
1483.6000000000001,16056.900000000005,0.0,109.0,996.0000000000001,15143.0,677.0,1421.0,4918.0,1570311.4000000006,1747.0,99313.0,18741.5,117095.8,688352.9999999999,1437010.3,132.0,8968.0,2149.0,42340.0,4756.8,73592.59999999999,4498.0,122630.00000000001,163.00000000000003,9696.0,2676.0,84185.0,323.0,53106.0,3055.0,9524.0,250.0,24180.0,81.0,3925.0,115.0,22795.0,77.0,29531.6
1659.9,16056.900000000005,0.0,0.0,996.0000000000001,4034.7999999999993,661.1,1421.0,4118.0,1570311.4000000006,1747.0,108726.70000000003,16441.2,117095.8,959707.7,1464665.0,142.0,12453.6,2149.0,36371.0,8945.4,58881.2,4498.0,122630.00000000001,121.99999999999999,9724.0,3212.0,100429.0,323.0,54797.500000000146,1808.9999999999998,10529.800000000001,310.0,21359.0,81.0,3996.1000000000004,93.0,25527.0,77.0,29531.6
1678.0000000000002,17541.0,0.0,0.0,996.0000000000001,4721.9,574.7,1421.0,3896.9999999999995,1570311.4000000006,1747.0,99632.6,14221.0,117095.8,962177.9,1464665.0,149.0,12453.6,1707.0,36371.0,4735.2,55581.0,4498.0,140088.9,198.0,9779.400000000005,4015.0,100429.0,323.0,54464.60000000012,2266.9,10482.9,259.00000000000006,22630.0,81.0,4517.700000000001,215.99999999999997,25527.0,77.0,29531.6
1678.0000000000002,20422.0,0.0,0.0,996.0000000000001,3870.4999999999986,283.0,1421.0,4651.0,1564062.0,1747.0,105507.4,12942.0,116701.09999999999,471935.0,1464665.0,84.99999999999999,12453.6,2139.9,34572.799999999996,4735.2,58881.2,4498.0,144533.0,264.0,11680.0,4015.0,100429.0,323.0,62521.0,1825.9999999999998,19734.0,250.0,18101.000000000007,81.0,4279.900000000001,416.0,19930.7,77.0,30473.7
3324.0,19452.0,0.0,0.0,996.0000000000001,7661.2,518.0,1223.0000000000002,6304.0,1570311.4000000006,1747.0,155664.59999999998,13468.999999999998,117095.8,685590.3999999999,1464665.0,181.0,12453.6,2731.0,36384.8,2703.0,73592.59999999999,12668.999999999998,149929.0,179.0,10624.0,9831.0,122672.00000000001,1032.0,88903.0,1906.2,19821.0,250.0,27993.000000000007,81.0,3928.6000000000004,945.0,27988.0,1688.0000000000002,30012.899999999998
